Date:- 10/1/2011 2:59:03 PM Extract Name:- CAM Document Master Withcam + Bank
DOCID|||DOCNAME|||DOCGROUP|||DOCTYPE|||DOCTENURE|||INCLUDEINRL|||CRITICAL|||MANDATORY~~~
DOC0000006|||MPBF CALCULATION|||M|||B|||1|||N|||NULL|||NULL~~~
DOC0000007|||CMA DATA|||M|||B|||1|||N|||NULL|||NULL~~~
DOC0000008|||CONSORTIUM MINUTES|||M|||B|||1|||N|||NULL|||NULL~~~
DOC0000130|||AGREEMENT FOR ASSIGNMENT OF RECEIVABLES|||M|||B|||1|||N|||NULL|||NULL~~~
Total Row Count =4
